Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
Age > 48.00,Private,Masters,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,White,Male,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Widowed,?,Unmarried,Black,Female,None,High,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,White-Collar,Own-child,Other,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Service,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Federal-gov,Associates,Separated,Blue-Collar,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Masters,Separated,Professional,Unmarried,White,Female,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,State-gov,High School grad,Never-Married,Service,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Masters,Widowed,White-Collar,Unmarried,White,Female,None,None,Hours per week <= 40.00,?,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Admin,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,Doctorate,Married,Professional,Husband,Asian-Pac-Islander,Male,High,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,Professional,Not-in-family,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50,000"
Age <= 28.00,Self-emp-not-inc,High School grad,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,State-gov,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Bachelors,Separated,Professional,Unmarried,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Masters,Married,Professional,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Wife,White,Female,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Admin,Unmarried,White,Female,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Self-emp-inc,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Sales,Not-in-family,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,Low,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,State-gov,Masters,Married,White-Collar,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,Black,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,Bachelors,Never-Married,Admin,Not-in-family,White,Male,None,High,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Service,Other-relative,White,Male,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,White-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50,000"
Age > 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Other,Own-child,White,Female,None,Low,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Other-relative,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,Low,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Admin,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Service,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Other,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Separated,Service,Not-in-family,Amer-Indian-Eskimo,Female,None,None,Hours per week <= 40.00,South-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Masters,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,Dropout,Married,?,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Other,Not-in-family,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Euro_2,"Less than $50,000"
Age > 48.00,State-gov,Masters,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Dropout,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Professional,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Widowed,Admin,Not-in-family,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Separated,White-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,Other,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Prof-School,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Service,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,White-Collar,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Service,Own-child,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Sales,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Widowed,?,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Dropout,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Separated,Professional,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Masters,Never-Married,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Other,Other-relative,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Masters,Separated,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Separated,Service,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Wife,Black,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Masters,Married,Professional,Wife,White,Female,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,Service,Not-in-family,White,Male,None,None,Hours per week > 45.00,British-Commonwealth,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Other,"More than $50,000"
37.00 < Age <= 48.00,Private,Doctorate,Married,Admin,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Service,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Prof-School,Married,White-Collar,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Separated,Blue-Collar,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Bachelors,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Masters,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,Sales,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Service,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,State-gov,Doctorate,Separated,Professional,Unmarried,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Admin,Not-in-family,Asian-Pac-Islander,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,?,Dropout,Married,?,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
